Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
"#
Tata Consultancy Services Ltd.",Computers - software & consulting,6.3,184.3,0.76%,0.76%,0.76% (Feb 2024),0% (Mar 2023),45.00 k,45.00 k,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Chemplast Sanmar Ltd.,Commodity chemicals,1.27,183,0.75%,-0.06%,0.81% (Jan 2024),0% (Mar 2023),3.89 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Electronics Mart lndia Ltd.,Speciality retail,1.41,176.9,0.73%,-0.06%,0.79% (Jan 2024),0% (Mar 2023),8.54 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Oracle Financial Services Software Limited,Software products,0.71,174,0.71%,-0.06%,0.77% (Jan 2024),0% (Mar 2023),22.67 k,-5.33 k,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Bharat Forge Ltd.,Castings & forgings,0.7,171.5,0.70%,-0.08%,0.88% (Oct 2023),0% (Mar 2023),1.49 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"#
Bajaj Finance Ltd.",Non banking financial company (nbfc),1.54,167.5,0.69%,0.69%,0.69% (Feb 2024),0% (Mar 2023),25.79 k,25.79 k,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Container Corporation Of India Ltd.,Logistics solution provider,3.94,165.6,0.68%,-0.37%,1.08% (Dec 2023),0% (Mar 2023),1.69 L,-1.10 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"-
Go Fashion (India) Ltd.",Speciality retail,1.41,165.1,0.68%,0.00%,0.99% (Aug 2023),0% (Mar 2023),1.46 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Avalon Technologies Ltd.,Other electrical equipment,0.65,159.5,0.65%,-0.04%,1% (Oct 2023),0% (Mar 2023),3.00 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Flair Writing Industries Ltd.,Stationary,0.55,134.4,0.55%,-0.12%,0.75% (Dec 2023),0% (Mar 2023),4.78 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Prince Pipes and Fittings Ltd.,Plastic products - industrial,0.55,133.3,0.55%,-0.15%,1.11% (Aug 2023),0% (Mar 2023),2.32 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
NHPC Ltd.,Power generation,2.54,128.1,0.53%,-0.12%,0.65% (Jan 2024),0% (Mar 2023),14.53 L,-2.47 L,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"#
Hindalco Industries Ltd.",Aluminium,0.52,126,0.52%,0.52%,0.52% (Feb 2024),0% (Mar 2023),2.50 L,2.50 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Navin Flourine International Ltd.,Commodity chemicals,1.27,125.9,0.52%,-0.08%,0.81% (Sep 2023),0% (Mar 2023),41.67 k,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Medi Assist Healthcare Services Ltd.,Healthcare service provider,2.14,107.4,0.44%,-0.37%,0.81% (Jan 2024),0% (Mar 2023),2.09 L,-2.09 L,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
One 97 Communications Ltd.,Financial technology (fintech),0.25,60.5,0.25%,-0.23%,0.48% (Jan 2024),0% (Mar 2023),1.50 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Aptus Value Housing Finance India Ltd.,Housing finance company,1.63,47.2,0.19%,-0.02%,1.22% (Aug 2023),0% (Mar 2023),1.34 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Hindustan Unilever Ltd.,Diversified fmcg,1.44,20.5,0.08%,-0.01%,1.02% (Sep 2023),0% (Mar 2023),8.51 k,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,6.43,13.4,0.06%,0.01%,1.16% (Sep 2023),0% (Mar 2023),8.52 k,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
KFIN Technologies Ltd.,Financial technology (fintech),0.25,236.5,0.00%,-1.00%,-,-,-,-,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Sona BLW Precision Forgings Ltd.,Auto components & equipments,1.98,140.6,0.00%,-0.59%,-,-,-,-,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Infosys Ltd.,Computers - software & consulting,6.3,11.1,0.00%,-0.05%,-,-,-,-,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Reliance Industries Ltd.,Refineries & marketing,4.73,357.9,4.27%,0.26%,4.27% (Feb 2024),1.99% (Dec 2023),1.23 L,10.50 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
ICICI Bank Ltd.,Private sector bank,7.33,252.6,3.01%,0.03%,4.52% (Mar 2023),2.8% (Nov 2023),2.40 L,9.20 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
National Thermal Power Corporation Ltd.,Power generation,4.01,249.2,2.97%,0.01%,2.97% (Feb 2024),0% (Mar 2023),7.43 L,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
HDFC Bank Ltd.,Private sector bank,7.33,182.7,2.18%,-0.50%,4.95% (Mar 2023),2.18% (Feb 2024),1.30 L,-0.16 L,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
TVS Motor Company Ltd.,2/3 wheelers,3.22,171.8,2.05%,0.59%,2.37% (Nov 2023),0% (Mar 2023),80.30 k,22.20 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Tata Consumer Products Ltd.,Tea & coffee,2.05,171.6,2.05%,0.03%,2.05% (Feb 2024),0% (Mar 2023),1.44 L,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Shriram Finance Ltd.,Non banking financial company (nbfc),3.26,169.7,2.02%,-0.43%,2.45% (Jan 2024),0% (Mar 2023),69.61 k,-9.61 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Canara Bank,Public sector bank,5.03,153.5,1.83%,0.19%,1.83% (Feb 2024),0% (Mar 2023),2.72 L,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Indian Bank,Public sector bank,5.03,143.4,1.71%,0.62%,1.71% (Feb 2024),0% (Mar 2023),2.73 L,99.00 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Tata Motors Ltd. - A Class,Passenger cars & utility vehicles,1.71,143.2,1.71%,0.05%,2.41% (Jul 2023),0.88% (Mar 2023),2.27 L,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Varun Beverages Ltd.,Other beverages,1.62,136,1.62%,0.07%,2.26% (Mar 2023),0.63% (Jul 2023),96.57 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Larsen & Toubro Ltd.,Civil construction,2.84,130.8,1.56%,-1.76%,3.32% (Jan 2024),1.56% (Feb 2024),37.60 k,-0.38 L,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
State Bank Of India,Public sector bank,5.03,125.2,1.49%,0.39%,3.43% (May 2023),1.1% (Jan 2024),1.67 L,30.80 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,1.49,124.8,1.49%,0.42%,1.75% (Dec 2023),1.07% (Jan 2024),1.11 L,38.50 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
PB Fintech Ltd.,Financial technology (fintech),1.44,120.5,1.44%,0.29%,1.82% (Mar 2023),0.97% (Dec 2023),1.03 L,12.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,8.66,109.7,1.31%,0.35%,1.31% (Feb 2024),0.5% (Oct 2023),69.50 k,15.70 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Spandana Sphoorty Financial Ltd.,Microfinance institutions,1.29,107.9,1.29%,-0.26%,1.77% (Dec 2023),0% (Mar 2023),1.18 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
PNC Infratech Ltd.,Civil construction,2.84,107.1,1.28%,0.71%,1.28% (Feb 2024),0% (Mar 2023),2.51 L,1.51 L,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Glenmark Life Sciences Ltd.,Pharmaceuticals,8.66,106.9,1.27%,-0.08%,1.56% (Jul 2023),0% (Mar 2023),1.23 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Zomato Ltd.,E-retail/ e-commerce,1.27,106.7,1.27%,0.27%,1.41% (Nov 2023),0% (Mar 2023),6.45 L,74.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Sonata Software Ltd.,Computers - software & consulting,6.76,106.6,1.27%,0.20%,1.52% (May 2023),0.96% (Dec 2023),1.32 L,20.30 k,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Brigade Enterprises Ltd.,"Residential, commercial projects",3.1,106.1,1.27%,-0.09%,1.36% (Jan 2024),0% (Mar 2023),1.06 L,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Alembic Pharmaceuticals Ltd.,Pharmaceuticals,8.66,104.9,1.25%,0.01%,1.25% (Feb 2024),0% (Mar 2023),1.03 L,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Cummins India Ltd.","Compressors, pumps & diesel engines",1.25,104.9,1.25%,1.25%,1.25% (Feb 2024),0% (Mar 2023),38.30 k,38.30 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Jio Financial Services Ltd.,Non banking financial company (nbfc),3.26,103.9,1.24%,0.29%,1.24% (Feb 2024),0% (Mar 2023),3.35 L,30.70 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Electronics Mart lndia Ltd.,Speciality retail,1.24,103.6,1.24%,-0.13%,1.63% (Nov 2023),0% (Mar 2023),5.00 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Thermax Ltd.,Heavy electrical equipment,3.58,103.3,1.23%,0.27%,1.23% (Feb 2024),0% (Mar 2023),28.40 k,4.40 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Godrej Properties Ltd.,"Residential, commercial projects",3.1,103.1,1.23%,-0.05%,1.28% (Jan 2024),0% (Mar 2023),43.00 k,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Coal India Ltd.,Coal,1.23,103.1,1.23%,-0.81%,2.04% (Jan 2024),0% (Mar 2023),2.36 L,-1.64 L,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Voltas Limited",Household appliances,1.98,102,1.22%,1.22%,1.22% (Feb 2024),0% (Mar 2023),92.00 k,92.00 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Max Healthcare Institute Ltd.,Hospital,1.21,101.1,1.21%,-0.04%,1.61% (May 2023),0.81% (Oct 2023),1.27 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Bharat Heavy Electricals Ltd.,Heavy electrical equipment,3.58,100.4,1.20%,0.08%,1.2% (Feb 2024),0% (Mar 2023),4.41 L,51.00 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Bajaj Auto Ltd.,2/3 wheelers,3.22,98.1,1.17%,-0.02%,1.3% (Dec 2023),0% (Mar 2023),12.40 k,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Kesoram Industries Ltd.,Cement,1.16,97.4,1.16%,-0.07%,1.23% (Jan 2024),0% (Mar 2023),5.76 L,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Mrs.Bectors Food Specialities Ltd.,Packaged foods,1.16,96.9,1.16%,-0.20%,1.36% (Jan 2024),0% (Mar 2023),91.20 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
ABB Power Products and Systems India Ltd.,Heavy electrical equipment,3.58,96.6,1.15%,-0.05%,1.2% (Jan 2024),0% (Mar 2023),16.09 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Bharat Electronics Ltd.,Aerospace & defense,1.12,94.4,1.12%,-0.27%,1.39% (Jan 2024),0% (Mar 2023),4.60 L,-1.36 L,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Kalyan Jewellers India Ltd.,"Gems, jewellery and watches",1.11,92.9,1.11%,0.18%,1.11% (Feb 2024),0% (Mar 2023),2.34 L,22.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"-
HCL Technologies Limited",Computers - software & consulting,6.76,91.5,1.09%,0.00%,1.09% (Jan 2024),0% (Mar 2023),55.00 k,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Abbott India Ltd.",Pharmaceuticals,8.66,91,1.08%,1.08%,1.08% (Feb 2024),0% (Mar 2023),3.20 k,3.20 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
J S W Energy Ltd.,Power generation,4.01,87.2,1.04%,-0.28%,1.32% (Jan 2024),0% (Mar 2023),1.72 L,-0.38 L,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Cyient Ltd.,It enabled services,1.04,87.1,1.04%,0.17%,1.04% (Feb 2024),0% (Mar 2023),43.00 k,8.00 k,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"-
S.J.S. Enterprises Ltd.",Auto components & equipments,2.61,86.3,1.03%,0.00%,1.24% (Nov 2023),0% (Mar 2023),1.36 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Persistent Systems Ltd.,Computers - software & consulting,6.76,86.3,1.03%,-0.02%,1.87% (Mar 2023),0.56% (Nov 2023),10.00 k,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Tata Consultancy Services Ltd.,Computers - software & consulting,6.76,84.9,1.01%,0.38%,1.51% (Apr 2023),0% (Mar 2023),20.74 k,7.60 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Central Depository Services (India) Ltd.,"Depositories, clearing houses and other intermediaries",1.01,84.4,1.01%,0.19%,1.01% (Feb 2024),0% (Mar 2023),44.00 k,7.00 k,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Doms Industries Ltd.,Stationary,0.99,83.3,0.99%,0.02%,0.99% (Feb 2024),0% (Mar 2023),55.00 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
C.E. Info Systems Ltd.,Software products,0.98,82.6,0.98%,0.34%,1.49% (Jul 2023),0.64% (Jan 2024),45.69 k,19.80 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Balkrishna Industries Ltd.,Tyres & rubber products,0.98,82.5,0.98%,-0.81%,1.99% (Dec 2023),0% (Mar 2023),37.00 k,-0.21 L,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Oil & Natural Gas Corporation Ltd.",Oil exploration & production,1.9,82,0.98%,0.98%,0.98% (Feb 2024),0% (Mar 2023),3.10 L,3.10 L,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Container Corporation Of India Ltd.,Logistics solution provider,0.97,81.1,0.97%,0.05%,0.97% (Feb 2024),0% (Mar 2023),82.99 k,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Infosys Ltd.,Computers - software & consulting,6.76,78.9,0.94%,-0.04%,2.89% (Mar 2023),0.94% (Feb 2024),47.15 k,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"-
Coforge Ltd.",Computers - software & consulting,6.76,77.8,0.93%,0.00%,0.99% (Dec 2023),0.78% (Oct 2023),11.87 k,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,8.66,77.6,0.93%,-0.12%,1.87% (Jun 2023),0.72% (Oct 2023),49.70 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Nippon Life India Asset Management Ltd.,Asset management company,0.92,77.5,0.92%,-0.07%,1.55% (Oct 2023),0% (Mar 2023),1.50 L,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Oil India Ltd.",Oil exploration & production,1.9,77.1,0.92%,0.92%,0.92% (Feb 2024),0% (Mar 2023),1.41 L,1.41 L,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Axis Bank Ltd.,Private sector bank,7.33,69.5,0.83%,-0.03%,1.69% (Mar 2023),0.83% (Feb 2024),64.60 k,0.00,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Gokaldas Exports Ltd.,Garments & apparels,0.81,67.9,0.81%,-0.25%,1.14% (Nov 2023),0% (Mar 2023),80.35 k,-0.11 L,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
J.K. Cement Ltd.,Cement & cement products,0.81,67.7,0.81%,-0.49%,1.3% (Jan 2024),0% (Mar 2023),15.00 k,-8.77 k,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Sona BLW Precision Forgings Ltd.,Auto components & equipments,2.61,67.5,0.80%,0.04%,1.77% (Aug 2023),0.76% (Jan 2024),97.90 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Solar Industries India Ltd.,Explosives,0.8,67.3,0.80%,-0.58%,1.55% (Nov 2023),0% (Mar 2023),10.00 k,-7.00 k,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Gland Pharma Ltd.,Pharmaceuticals,8.66,66.7,0.79%,-0.41%,1.2% (Jan 2024),0% (Mar 2023),37.75 k,-0.11 L,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Honasa Consumer Ltd.",Retailing,0.79,66.3,0.79%,0.79%,0.79% (Feb 2024),0% (Mar 2023),1.60 L,1.60 L,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Max Financial Services Ltd.,Life insurance,1.25,65.9,0.79%,0.03%,0.87% (Dec 2023),0% (Mar 2023),68.00 k,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Zydus Lifesciences Ltd.",Pharmaceuticals,8.66,65.9,0.79%,0.79%,0.79% (Feb 2024),0% (Mar 2023),70.00 k,70.00 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Tata Steel Ltd.",Iron & steel products,0.78,65.5,0.78%,0.78%,0.78% (Feb 2024),0% (Mar 2023),4.65 L,4.65 L,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Kaynes Technology India Private Ltd.",Industrial products,0.78,65,0.78%,0.78%,0.78% (Feb 2024),0% (Mar 2023),22.00 k,22.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Gabriel India Ltd.,Auto components & equipments,2.61,65,0.78%,-0.13%,1.16% (Nov 2023),0% (Mar 2023),1.89 L,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Eureka Forbes Ltd.,Household appliances,1.98,64,0.76%,-0.18%,1.21% (Oct 2023),0.76% (Feb 2024),1.50 L,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Mankind Pharma Ltd.,Pharmaceuticals,8.66,63,0.75%,-0.14%,1.09% (Aug 2023),0% (Mar 2023),29.51 k,-5.99 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Info Edge (India) Ltd.",Internet & catalogue retail,0.74,62.2,0.74%,0.74%,0.74% (Feb 2024),0% (Mar 2023),11.81 k,11.81 k,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Dixon Technologies (India) Ltd.,Consumer electronics,0.71,59.5,0.71%,0.04%,1.45% (Aug 2023),0.67% (Jan 2024),8.90 k,0.00,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Karur Vysya Bank Ltd,Private sector bank,7.33,55.2,0.66%,-0.09%,1.38% (Oct 2023),0% (Mar 2023),3.01 L,0.00,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Karnataka Bank Ltd.",Private sector bank,7.33,54.6,0.65%,0.65%,0.65% (Feb 2024),0% (Mar 2023),2.40 L,2.40 L,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Angel One Ltd.,Stockbroking & allied,0.65,54.3,0.65%,-0.03%,0.68% (Jan 2024),0% (Mar 2023),19.50 k,3.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Prestige Estates Projects Ltd.,"Residential, commercial projects",3.1,50.2,0.60%,-0.08%,1.37% (Jun 2023),0% (Mar 2023),43.00 k,0.00,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Rural Electrification Corporation Limited,Financial institution,0.51,42.4,0.51%,-0.40%,1.17% (Dec 2023),0% (Mar 2023),96.00 k,-0.49 L,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Tech Mahindra Ltd.,Computers - software & consulting,6.76,41.1,0.49%,-0.57%,1.12% (Nov 2023),0% (Mar 2023),32.25 k,-0.31 L,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Concord Biotech Ltd.",Pharmaceuticals,8.66,40.8,0.49%,0.49%,0.49% (Feb 2024),0% (Mar 2023),28.00 k,28.00 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Greenply Industries Ltd.",Plywood boards/ laminates,0.47,39.4,0.47%,0.47%,0.47% (Feb 2024),0% (Mar 2023),1.50 L,1.50 L,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Hindustan Petroleum Corporation Ltd.",Refineries & marketing,4.73,38.7,0.46%,0.46%,0.46% (Feb 2024),0% (Mar 2023),76.00 k,76.00 k,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
"#
Life Insurance Corporation Of India",Life insurance,1.25,38.4,0.46%,0.46%,0.46% (Feb 2024),0% (Mar 2023),37.55 k,37.55 k,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Home First Finance Company India Ltd.,Housing finance company,0.06,5.1,0.06%,-0.84%,1.11% (Jul 2023),0% (Mar 2023),5.82 k,-0.67 L,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Power Finance Corporation Ltd.,Financial institution,0.51,86.9,0.00%,-1.09%,-,-,-,-,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Minda Industries Ltd.,Auto components & equipments,2.61,78.8,0.00%,-0.99%,-,-,-,-,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Hindalco Industries Ltd.,Aluminium,,52.7,0.00%,-0.66%,-,-,-,-,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Trent Limited,Speciality retail,1.24,37.7,0.00%,-0.47%,-,-,-,-,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Neogen Chemicals Ltd.,Specialty chemicals,,81.2,0.00%,-1.02%,-,-,-,-,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,3.58,81.7,0.00%,-1.02%,-,-,-,-,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
K.P.R. Mill Ltd.,Other textile products,,49,0.00%,-0.61%,-,-,-,-,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Oberoi Realty Ltd.,"Residential, commercial projects",3.1,73.5,0.00%,-0.92%,-,-,-,-,Mid Cap,28.24,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Lupin Ltd.,Pharmaceuticals,8.66,40.7,0.00%,-0.51%,-,-,-,-,Large Cap,25.27,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Indian Energy Exchange Ltd.,Exchange and data platform,,34,0.00%,-0.43%,-,-,-,-,Small Cap,13.97,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Syrma SGS Technology Ltd.,Industrial products,0.78,63.5,0.00%,-0.80%,-,-,-,-,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Bikaji Foods International Ltd.,Packaged foods,1.16,71.2,0.00%,-0.89%,-,-,-,-,Other,27.93,union-multicap-fund-direct-plan-growth,MUK184,Equity,07_multi
Reliance Industries Ltd.,Refineries & marketing,4.84,213,4.84%,0.06%,4.84% (Feb 2024),0% (Mar 2023),72.91 k,2.95 k,Large Cap,35.69,bank-of-india-multicap-fund-direct-plan-growth,MBAA004,Equity,07_multi
